Search keyword report
22 May 2021 - 01 June 2021
Keyword status,Keyword,Ad group,Status,Status reasons,Match type,Final URL,Mobile final URL,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
Enabled,samsung refrigerator repair,Samsung,Not eligible,campaign paused,Broad match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,"""samsung fridge repair""",Samsung,Not eligible,campaign paused,Phrase match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,samsung refrigerator service,Samsung,Not eligible,campaign paused,Broad match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,samsung refrigerator repair service,Samsung,Not eligible,campaign paused,Broad match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,"""samsung fridge service""",Samsung,Not eligible,campaign paused,Phrase match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,"""samsung helpline number""",Samsung,Not eligible,campaign paused,Phrase match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,"""samsung care near me""",Samsung,Not eligible,campaign paused,Phrase match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,samsung refrigerator customer care number,Samsung,Not eligible,campaign paused,Broad match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,samsung refrigerator service center,Samsung,Not eligible,campaign paused,Broad match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,samsung washing machine customer care number,Samsung,Not eligible,campaign paused,Broad match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,samsung ac repair,Samsung,Not eligible,campaign paused,Broad match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,samsung ac service,Samsung,Not eligible,campaign paused,Broad match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,samsung ac service center,Samsung,Not eligible,campaign paused,Broad match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,"""samsung fridge service center""",Samsung,Not eligible,campaign paused,Phrase match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,"""samsung service centre near me""",Samsung,Not eligible,campaign paused,Phrase match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,"""samsung customer care number""",Samsung,Not eligible,campaign paused,Phrase match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,samsung washing machine repair near me,Samsung,Not eligible,campaign paused,Broad match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,samsung ac repair service,Samsung,Not eligible,campaign paused,Broad match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,samsung refrigerator complaint,Samsung,Not eligible,campaign paused,Broad match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,samsung ac complaint,Samsung,Not eligible,campaign paused,Broad match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,"""nearest samsung service center""",Samsung,Not eligible,campaign paused,Phrase match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,samsung customer care refrigerator,Samsung,Not eligible,campaign paused,Broad match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,samsung washing machine customer service,Samsung,Not eligible,campaign paused,Broad match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,samsung ac customer care number,Samsung,Not eligible,campaign paused,Broad match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,samsung washing machine service center near me,Samsung,Not eligible,campaign paused,Broad match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,"""samsung toll free""",Samsung,Not eligible,campaign paused,Phrase match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
Enabled,"""samsung fridge customer care number""",Samsung,Not eligible,campaign paused,Phrase match,,,0,0, --,INR, --,0.00,0.00,0.00,0.00%
